Year,District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
2001,,MD,502,,,,,,,,,
2001,,ME,1019,,,,,,,,,
2001,,MI,3759,,,,,,,,,
2001,,MN,7790,,,,,,,,,
2001,,MO,229,,,,,,,,,
2001,,MS,13,,,,,,,,,
2001,,MT,355,,,,,,,,,
2001,,NC,226,,,,,,,,,
2001,,ND,641,,,,,,,,,
2001,,NE,55,,,,,,,,,
2001,,NH,941,,,,,,,,,
2001,,NJ,804,,,,,,,,,
2001,,NM,94,,,,,,,,,
2001,,NV,33,,,,,,,,,
2001,,NY,3627,,,,,,,,,
2001,,OH,652,,,,,,,,,
2001,,OK,21,,,,,,,,,
2001,,OR,100,,,,,,,,,
2001,,PA,1301,,,,,,,,,
2001,,RI,554,,,,,,,,,
2001,,SC,56,,,,,,,,,
2001,,SD,239,,,,,,,,,
2001,,TN,75,,,,,,,,,
2001,,TX,328,,,,,,,,,
2001,,UT,228,,,,,,,,,
2001,,VA,429,,,,,,,,,
2001,,VT,889,,,,,,,,,
2001,,WA,517,,,,,,,,,
2001,,WI,2511,,,,,,,,,
2001,,WV,78,,,,,,,,,
2001,,WY,254,,,,,,,,,
2002,,AK,1290,,,,,,,,,
2002,,AL,40,,,,,,,,,
2002,,AR,16,,,,,,,,,
2002,,AZ,377,,,,,,,,,
2002,,CA,1143,,,,,,,,,
2002,,CO,1465,,,,,,,,,
2002,,CT,1612,,,,,,,,,
2002,,DC,77,,,,,,,,,
2002,,DE,66,,,,,,,,,
2002,,FL,408,,,,,,,,,
2002,,GA,93,,,,,,,,,
2002,,HI,12,,,,,,,,,
2002,,IA,186,,,,,,,,,
2002,,ID,311,,,,,,,,,
2002,,IL,1770,,,,,,,,,
2002,,IN,314,,,,,,,,,
2002,,KS,65,,,,,,,,,
2002,,KY,87,,,,,,,,,
2002,,LA,44,,,,,,,,,
2002,,MA,6153,,,,,,,,,
2002,,MD,600,,,,,,,,,
2002,,ME,1062,,,,,,,,,
2002,,MI,3987,,,,,,,,,
2002,,MN,8330,,,,,,,,,
2002,,MO,217,,,,,,,,,
2002,,MS,21,,,,,,,,,
2002,,MT,387,,,,,,,,,
2002,,NC,227,,,,,,,,,
2002,,ND,655,,,,,,,,,
2002,,NE,48,,,,,,,,,
2002,,NH,1042,,,,,,,,,
2002,,NJ,896,,,,,,,,,
2002,,NM,105,,,,,,,,,
2002,,NV,27,,,,,,,,,
2002,,NY,3835,,,,,,,,,
2002,,OH,684,,,,,,,,,
2002,,OK,19,,,,,,,,,
2002,,OR,126,,,,,,,,,
2002,,PA,1417,,,,,,,,,
2002,,RI,615,,,,,,,,,
2002,,SC,49,,,,,,,,,
2002,,SD,248,,,,,,,,,
2002,,TN,90,,,,,,,,,
2002,,TX,288,,,,,,,,,
2002,,UT,281,,,,,,,,,
2002,,VA,389,,,,,,,,,
2002,,VT,1109,,,,,,,,,
2002,,WA,563,,,,,,,,,
2002,,WI,2784,,,,,,,,,
2002,,WV,81,,,,,,,,,
2002,,WY,260,,,,,,,,,
2003,,AK,1432,,,,,,,,,
2003,,AL,47,,,,,,,,,
2003,,AR,11,,,,,,,,,
2003,,AZ,290,,,,,,,,,
2003,,CA,1178,,,,,,,,,
2003,,CO,1663,,,,,,,,,
2003,,CT,1740,,,,,,,,,
2003,,DC,83,,,,,,,,,
2003,,DE,59,,,,,,,,,
2003,,FL,501,,,,,,,,,
2003,,GA,76,,,,,,,,,
2003,,HI,20,,,,,,,,,
2003,,IA,150,,,,,,,,,
2003,,ID,340,,,,,,,,,
2003,,IL,1735,,,,,,,,,
2003,,IN,345,,,,,,,,,
2003,,KS,69,,,,,,,,,
2003,,KY,81,,,,,,,,,
2003,,LA,30,,,,,,,,,
2003,,MA,6611,,,,,,,,,
2003,,MD,610,,,,,,,,,
2003,,ME,1208,,,,,,,,,
2003,,MI,4186,,,,,,,,,
2003,,MN,9243,,,,,,,,,
2003,,MO,278,,,,,,,,,
2003,,MS,11,,,,,,,,,
2003,,MT,441,,,,,,,,,
2003,,NC,232,,,,,,,,,
2003,,ND,735,,,,,,,,,
2003,,NE,66,,,,,,,,,
2003,,NH,1016,,,,,,,,,
2003,,NJ,913,,,,,,,,,
2003,,NM,136,,,,,,,,,
2003,,NV,42,,,,,,,,,
2003,,NY,4035,,,,,,,,,
2003,,OH,767,,,,,,,,,
2003,,OK,24,,,,,,,,,
2003,,OR,118,,,,,,,,,
2003,,PA,1545,,,,,,,,,
2003,,RI,635,,,,,,,,,
2003,,SC,68,,,,,,,,,
2003,,SD,252,,,,,,,,,
2003,,TN,98,,,,,,,,,
2003,,TX,304,,,,,,,,,
2003,,UT,276,,,,,,,,,
2003,,VA,431,,,,,,,,,
2003,,VT,1245,,,,,,,,,
2003,,WA,607,,,,,,,,,
2003,,WI,3131,,,,,,,,,
2003,,WV,71,,,,,,,,,
2003,,WY,309,,,,,,,,,
2004,,AK,1495,,,,,,,,,
2004,,AL,50,,,,,,,,,
2004,,AR,10,,,,,,,,,
2004,,AZ,273,,,,,,,,,
2004,,CA,1146,,,,,,,,,
2004,,CO,1760,,,,,,,,,
2004,,CT,1772,,,,,,,,,
2004,,DC,89,,,,,,,,,
2004,,DE,70,,,,,,,,,
2004,,FL,518,,,,,,,,,
2004,,GA,96,,,,,,,,,
2004,,HI,3,,,,,,,,,
2004,,IA,189,,,,,,,,,
2004,,ID,354,,,,,,,,,
2004,,IL,1820,,,,,,,,,
2004,,IN,300,,,,,,,,,
2004,,KS,67,,,,,,,,,
2004,,KY,93,,,,,,,,,
2004,,LA,30,,,,,,,,,
2004,,MA,6916,,,,,,,,,
2004,,MD,650,,,,,,,,,
2004,,ME,1174,,,,,,,,,
2004,,MI,4297,,,,,,,,,
2004,,MN,9443,,,,,,,,,
2004,,MO,290,,,,,,,,,
2004,,MS,10,,,,,,,,,
2004,,MT,507,,,,,,,,,
2004,,NC,254,,,,,,,,,
2004,,ND,791,,,,,,,,,
2004,,NE,90,,,,,,,,,
2004,,NH,1074,,,,,,,,,
2004,,NJ,945,,,,,,,,,
2004,,NM,158,,,,,,,,,
2004,,NV,46,,,,,,,,,
2004,,NY,4025,,,,,,,,,
2004,,OH,805,,,,,,,,,
2004,,OK,24,,,,,,,,,
2004,,OR,101,,,,,,,,,
2004,,PA,1754,,,,,,,,,
2004,,RI,677,,,,,,,,,
2004,,SC,89,,,,,,,,,
2004,,SD,271,,,,,,,,,
2004,,TN,94,,,,,,,,,
